mesh 1 x,mesh 1 y,mesh 1 z,energy low [eV],energy high [eV],particle,nuclide,score,mean,std. dev.
1,1,1,1.0,10000000.0,neutron,total,flux,0.0,0.0
1,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
1,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
2,1,1,1.0,10000000.0,neutron,total,flux,0.0,0.0
2,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
2,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
3,1,1,1.0,10000000.0,neutron,total,flux,0.0,0.0
3,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
3,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
4,1,1,1.0,10000000.0,neutron,total,flux,0.0,0.0
4,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
4,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
5,1,1,1.0,10000000.0,neutron,total,flux,0.0,0.0
5,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
5,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
6,1,1,1.0,10000000.0,neutron,total,flux,0.0,0.0
6,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
6,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
7,1,1,1.0,10000000.0,neutron,total,flux,0.0,0.0
7,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
7,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
8,1,1,1.0,10000000.0,neutron,total,flux,0.0,0.0
8,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
8,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
9,1,1,1.0,10000000.0,neutron,total,flux,0.0,0.0
9,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
9,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
10,1,1,1.0,10000000.0,neutron,total,flux,0.0,0.0
10,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
10,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
11,1,1,1.0,10000000.0,neutron,total,flux,0.0,0.0
11,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
11,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
12,1,1,1.0,10000000.0,neutron,total,flux,0.0,0.0
12,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
12,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
13,1,1,1.0,10000000.0,neutron,total,flux,0.0,0.0
13,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
13,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
14,1,1,1.0,10000000.0,neutron,total,flux,0.0,0.0
14,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
14,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
15,1,1,1.0,10000000.0,neutron,total,flux,0.0,0.0
15,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
15,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
16,1,1,1.0,10000000.0,neutron,total,flux,0.0,0.0
16,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
16,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
17,1,1,1.0,10000000.0,neutron,total,flux,0.0,0.0
17,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
17,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
